benchmark,family,result,time,memory,conflict,decision,stage
mbo_E10E11,20161105-Sturm-MBO,timeout,1199.99,228.45,0,0,0
mbo_E10E12,20161105-Sturm-MBO,timeout,1199.98,1344.84,0,0,0
mbo_E10E13,20161105-Sturm-MBO,timeout,1199.99,2098.7,0,0,0
mbo_E10E14,20161105-Sturm-MBO,timeout,1199.85,483.4,0,0,0
mbo_E10E15,20161105-Sturm-MBO,timeout,1199.98,1307.29,0,0,0
mbo_E10E16,20161105-Sturm-MBO,timeout,1199.98,612.93,0,0,0
mbo_E10E17,20161105-Sturm-MBO,timeout,1199.92,617.52,0,0,0
mbo_E10E18,20161105-Sturm-MBO,timeout,1199.93,496.58,0,0,0
mbo_E10E19,20161105-Sturm-MBO,timeout,1199.91,344.11,0,0,0
mbo_E10E20,20161105-Sturm-MBO,timeout,1199.98,538.03,0,0,0
mbo_E10E21,20161105-Sturm-MBO,timeout,1199.99,355.85,0,0,0
mbo_E10E22,20161105-Sturm-MBO,timeout,1199.94,530.08,0,0,0
mbo_E10E23,20161105-Sturm-MBO,timeout,1200.21,582.6,0,0,0
mbo_E10E24,20161105-Sturm-MBO,timeout,1199.93,473.47,0,0,0
mbo_E10E25,20161105-Sturm-MBO,timeout,1199.89,483.17,0,0,0
mbo_E10E26,20161105-Sturm-MBO,timeout,1199.94,531.1,0,0,0
mbo_E10E27,20161105-Sturm-MBO,timeout,1199.98,303.85,0,0,0
mbo_E10E28,20161105-Sturm-MBO,timeout,1199.93,488.94,0,0,0
mbo_E10,20161105-Sturm-MBO,timeout,1200.27,123.05,0,0,0
mbo_E11E12,20161105-Sturm-MBO,timeout,1199.98,3846.43,0,0,0
mbo_E11E13,20161105-Sturm-MBO,timeout,1199.98,6494.1,0,0,0
mbo_E11E14,20161105-Sturm-MBO,timeout,1199.98,3727.44,0,0,0
mbo_E11E15,20161105-Sturm-MBO,timeout,1199.98,3990.03,0,0,0
mbo_E11E16,20161105-Sturm-MBO,timeout,1199.99,190.05,0,0,0
mbo_E11E17,20161105-Sturm-MBO,timeout,1199.98,557.95,0,0,0
mbo_E11E18,20161105-Sturm-MBO,timeout,1199.96,428.4,0,0,0
mbo_E11E19,20161105-Sturm-MBO,timeout,1199.97,410.28,0,0,0
mbo_E11E20,20161105-Sturm-MBO,timeout,1200.0,464.27,0,0,0
mbo_E11E21,20161105-Sturm-MBO,timeout,1199.99,45.77,0,0,0
mbo_E11E22,20161105-Sturm-MBO,timeout,1199.99,634.96,0,0,0
mbo_E11E23,20161105-Sturm-MBO,unsat,0.01,18.14,6.0,0,6.0
mbo_E11E24,20161105-Sturm-MBO,timeout,1199.97,400.87,0,0,0
mbo_E11E25,20161105-Sturm-MBO,timeout,1200.41,530.48,0,0,0
mbo_E11E26,20161105-Sturm-MBO,unsat,1.16,18.12,27.0,1.0,26.0
mbo_E11E27,20161105-Sturm-MBO,unsat,0.0,18.05,3.0,0,3.0
mbo_E11E28,20161105-Sturm-MBO,unsat,0.11,18.23,201.0,36.0,166.0
mbo_E11,20161105-Sturm-MBO,unsat,0,18.04,0,0,0
mbo_E12E13,20161105-Sturm-MBO,timeout,1199.93,393.62,0,0,0
mbo_E12E14,20161105-Sturm-MBO,timeout,1199.91,346.4,0,0,0
mbo_E12E15,20161105-Sturm-MBO,timeout,1199.98,2100.51,0,0,0
mbo_E12E16,20161105-Sturm-MBO,timeout,1199.9,662.86,0,0,0
mbo_E12E17,20161105-Sturm-MBO,timeout,1199.86,560.48,0,0,0
mbo_E12E18,20161105-Sturm-MBO,timeout,1199.86,463.67,0,0,0
mbo_E12E19,20161105-Sturm-MBO,timeout,1199.92,427.72,0,0,0
mbo_E12E20,20161105-Sturm-MBO,timeout,1199.91,320.57,0,0,0
mbo_E12E21,20161105-Sturm-MBO,timeout,1199.95,368.05,0,0,0
mbo_E12E22,20161105-Sturm-MBO,timeout,1199.97,1340.95,0,0,0
mbo_E12E23,20161105-Sturm-MBO,timeout,1199.98,1087.25,0,0,0
mbo_E12E24,20161105-Sturm-MBO,timeout,1199.9,307.52,0,0,0
mbo_E12E25,20161105-Sturm-MBO,timeout,1199.93,360.94,0,0,0
mbo_E12E26,20161105-Sturm-MBO,timeout,1199.9,437.2,0,0,0
mbo_E12E27,20161105-Sturm-MBO,timeout,1199.98,376.45,0,0,0
mbo_E12E28,20161105-Sturm-MBO,timeout,1199.91,507.25,0,0,0
mbo_E12,20161105-Sturm-MBO,timeout,1199.99,69.02,0,0,0
mbo_E13E14,20161105-Sturm-MBO,timeout,1199.97,1817.12,0,0,0
mbo_E13E15,20161105-Sturm-MBO,timeout,1199.98,1820.33,0,0,0
mbo_E13E16,20161105-Sturm-MBO,timeout,1199.98,325.93,0,0,0
mbo_E13E17,20161105-Sturm-MBO,timeout,1199.85,596.1,0,0,0
mbo_E13E18,20161105-Sturm-MBO,timeout,1199.87,383.24,0,0,0
mbo_E13E19,20161105-Sturm-MBO,timeout,1199.93,408.92,0,0,0
mbo_E13E20,20161105-Sturm-MBO,timeout,1199.97,1191.19,0,0,0
mbo_E13E21,20161105-Sturm-MBO,timeout,1199.95,353.3,0,0,0
mbo_E13E22,20161105-Sturm-MBO,timeout,1199.93,359.73,0,0,0
mbo_E13E23,20161105-Sturm-MBO,timeout,1199.91,413.58,0,0,0
mbo_E13E24,20161105-Sturm-MBO,timeout,1199.88,380.48,0,0,0
mbo_E13E25,20161105-Sturm-MBO,timeout,1199.98,1311.2,0,0,0
mbo_E13E26,20161105-Sturm-MBO,timeout,1199.98,258.75,0,0,0
mbo_E13E27,20161105-Sturm-MBO,timeout,1199.97,401.59,0,0,0
mbo_E13E28,20161105-Sturm-MBO,timeout,1199.94,535.74,0,0,0
mbo_E13,20161105-Sturm-MBO,timeout,1199.99,187.79,0,0,0
mbo_E14E15,20161105-Sturm-MBO,timeout,1199.98,1791.74,0,0,0
mbo_E14E16,20161105-Sturm-MBO,timeout,1199.98,267.96,0,0,0
mbo_E14E17,20161105-Sturm-MBO,timeout,1199.91,687.84,0,0,0
mbo_E14E18,20161105-Sturm-MBO,timeout,1200.0,547.2,0,0,0
mbo_E14E19,20161105-Sturm-MBO,timeout,1199.88,348.47,0,0,0
mbo_E14E20,20161105-Sturm-MBO,timeout,1199.93,453.67,0,0,0
mbo_E14E21,20161105-Sturm-MBO,timeout,1199.95,518.72,0,0,0
mbo_E14E22,20161105-Sturm-MBO,timeout,1199.92,454.85,0,0,0
mbo_E14E23,20161105-Sturm-MBO,timeout,1199.93,522.81,0,0,0
mbo_E14E24,20161105-Sturm-MBO,timeout,1199.92,421.25,0,0,0
mbo_E14E25,20161105-Sturm-MBO,timeout,1199.98,1329.67,0,0,0
mbo_E14E26,20161105-Sturm-MBO,timeout,1199.99,247.42,0,0,0
mbo_E14E27,20161105-Sturm-MBO,timeout,1199.97,346.78,0,0,0
mbo_E14E28,20161105-Sturm-MBO,timeout,1199.88,595.58,0,0,0
mbo_E14,20161105-Sturm-MBO,timeout,1199.99,181.9,0,0,0
mbo_E15E16,20161105-Sturm-MBO,timeout,1199.99,326.74,0,0,0
mbo_E15E17,20161105-Sturm-MBO,timeout,1199.92,583.82,0,0,0
mbo_E15E18,20161105-Sturm-MBO,timeout,1199.93,528.56,0,0,0
mbo_E15E19,20161105-Sturm-MBO,timeout,1199.92,309.62,0,0,0
mbo_E15E20,20161105-Sturm-MBO,timeout,1199.98,1900.22,0,0,0
mbo_E15E21,20161105-Sturm-MBO,timeout,1199.93,360.14,0,0,0
mbo_E15E22,20161105-Sturm-MBO,timeout,1199.93,323.45,0,0,0
mbo_E15E23,20161105-Sturm-MBO,timeout,1199.91,391.85,0,0,0
mbo_E15E24,20161105-Sturm-MBO,timeout,1199.93,279.45,0,0,0
mbo_E15E25,20161105-Sturm-MBO,timeout,1199.98,1327.94,0,0,0
mbo_E15E26,20161105-Sturm-MBO,timeout,1199.98,262.28,0,0,0
mbo_E15E27,20161105-Sturm-MBO,timeout,1200.01,376.25,0,0,0
mbo_E15E28,20161105-Sturm-MBO,timeout,1199.9,512.93,0,0,0
mbo_E15,20161105-Sturm-MBO,timeout,1199.98,190.84,0,0,0
mbo_E16E17,20161105-Sturm-MBO,timeout,1199.98,404.02,0,0,0
mbo_E16E18,20161105-Sturm-MBO,timeout,1199.9,706.87,0,0,0
mbo_E16E19,20161105-Sturm-MBO,timeout,1199.91,613.08,0,0,0
mbo_E16E20,20161105-Sturm-MBO,timeout,1199.94,618.94,0,0,0
mbo_E16E21,20161105-Sturm-MBO,timeout,1199.99,439.16,0,0,0
mbo_E16E22,20161105-Sturm-MBO,timeout,1199.87,602.92,0,0,0
mbo_E16E23,20161105-Sturm-MBO,timeout,1199.99,314.33,0,0,0
mbo_E16E24,20161105-Sturm-MBO,timeout,1199.92,664.1,0,0,0
mbo_E16E25,20161105-Sturm-MBO,timeout,1199.98,280.68,0,0,0
mbo_E16E26,20161105-Sturm-MBO,timeout,1199.99,123.61,0,0,0
mbo_E16E27,20161105-Sturm-MBO,timeout,1199.99,179.72,0,0,0
mbo_E16E28,20161105-Sturm-MBO,timeout,1199.99,461.36,0,0,0
mbo_E16,20161105-Sturm-MBO,timeout,1199.99,22.52,0,0,0
mbo_E17E18,20161105-Sturm-MBO,timeout,1199.98,413.49,0,0,0
mbo_E17E19,20161105-Sturm-MBO,timeout,1199.96,563.98,0,0,0
mbo_E17E20,20161105-Sturm-MBO,timeout,1199.94,519.04,0,0,0
mbo_E17E21,20161105-Sturm-MBO,timeout,1199.99,347.02,0,0,0
mbo_E17E22,20161105-Sturm-MBO,timeout,1199.99,393.17,0,0,0
mbo_E17E23,20161105-Sturm-MBO,unsat,0.01,18.14,6.0,0,6.0
mbo_E17E24,20161105-Sturm-MBO,timeout,1199.9,628.14,0,0,0
mbo_E17E25,20161105-Sturm-MBO,timeout,1199.94,586.28,0,0,0
mbo_E17E26,20161105-Sturm-MBO,timeout,1199.99,374.13,0,0,0
mbo_E17E27,20161105-Sturm-MBO,unsat,0.06,18.16,100.0,13.0,87.0
mbo_E17E28,20161105-Sturm-MBO,timeout,1199.99,73.22,0,0,0
mbo_E17,20161105-Sturm-MBO,unsat,0.0,18.04,5.0,0,5.0
mbo_E18E19,20161105-Sturm-MBO,timeout,1199.92,414.72,0,0,0
mbo_E18E20,20161105-Sturm-MBO,timeout,1199.89,410.1,0,0,0
mbo_E18E21,20161105-Sturm-MBO,timeout,1199.95,428.55,0,0,0
mbo_E18E22,20161105-Sturm-MBO,timeout,1199.98,1352.99,0,0,0
mbo_E18E23,20161105-Sturm-MBO,timeout,1199.98,1075.82,0,0,0
mbo_E18E24,20161105-Sturm-MBO,timeout,1199.94,529.57,0,0,0
mbo_E18E25,20161105-Sturm-MBO,timeout,1199.93,462.48,0,0,0
mbo_E18E26,20161105-Sturm-MBO,timeout,1199.93,504.42,0,0,0
mbo_E18E27,20161105-Sturm-MBO,timeout,1199.98,322.38,0,0,0
mbo_E18E28,20161105-Sturm-MBO,timeout,1199.94,639.06,0,0,0
mbo_E18,20161105-Sturm-MBO,timeout,1199.99,155.79,0,0,0
mbo_E19E20,20161105-Sturm-MBO,timeout,1199.98,1304.31,0,0,0
mbo_E19E21,20161105-Sturm-MBO,timeout,1199.98,5629.8,0,0,0
mbo_E19E22,20161105-Sturm-MBO,timeout,1199.94,419.39,0,0,0
mbo_E19E23,20161105-Sturm-MBO,timeout,1199.95,352.48,0,0,0
mbo_E19E24,20161105-Sturm-MBO,timeout,1199.93,327.1,0,0,0
mbo_E19E25,20161105-Sturm-MBO,timeout,1199.94,426.8,0,0,0
mbo_E19E26,20161105-Sturm-MBO,timeout,1199.9,474.94,0,0,0
mbo_E19E27,20161105-Sturm-MBO,timeout,1199.98,393.06,0,0,0
mbo_E19E28,20161105-Sturm-MBO,timeout,1199.94,405.71,0,0,0
mbo_E19,20161105-Sturm-MBO,timeout,1199.99,162.33,0,0,0
mbo_E1E10,20161105-Sturm-MBO,timeout,1199.92,461.9,0,0,0
mbo_E1E11,20161105-Sturm-MBO,timeout,1199.97,494.71,0,0,0
mbo_E1E12,20161105-Sturm-MBO,timeout,1199.91,352.6,0,0,0
mbo_E1E13,20161105-Sturm-MBO,timeout,1199.91,304.02,0,0,0
mbo_E1E14,20161105-Sturm-MBO,timeout,1199.86,403.57,0,0,0
mbo_E1E15,20161105-Sturm-MBO,timeout,1199.86,359.39,0,0,0
mbo_E1E16,20161105-Sturm-MBO,timeout,1199.91,766.22,0,0,0
mbo_E1E17,20161105-Sturm-MBO,timeout,1199.87,709.26,0,0,0
mbo_E1E18,20161105-Sturm-MBO,timeout,1199.91,488.94,0,0,0
mbo_E1E19,20161105-Sturm-MBO,timeout,1199.92,414.62,0,0,0
mbo_E1E20,20161105-Sturm-MBO,timeout,1199.94,492.68,0,0,0
mbo_E1E21,20161105-Sturm-MBO,timeout,1199.95,457.37,0,0,0
mbo_E1E22,20161105-Sturm-MBO,timeout,1199.93,448.14,0,0,0
mbo_E1E23,20161105-Sturm-MBO,timeout,1199.94,431.14,0,0,0
mbo_E1E24,20161105-Sturm-MBO,timeout,1199.94,356.13,0,0,0
mbo_E1E25,20161105-Sturm-MBO,timeout,1199.94,518.57,0,0,0
mbo_E1E26,20161105-Sturm-MBO,timeout,1199.94,566.48,0,0,0
mbo_E1E27,20161105-Sturm-MBO,timeout,1199.99,408.91,0,0,0
