benchmark,family,result,time,memory
mbo_E10E11,20161105-Sturm-MBO,unsat,0.909,66.848
mbo_E10E12,20161105-Sturm-MBO,unsat,0.843,34.086
mbo_E10E13,20161105-Sturm-MBO,unsat,0.945,38.172
mbo_E10E14,20161105-Sturm-MBO,timeout,0,0
mbo_E10E15,20161105-Sturm-MBO,unsat,0.76,34.562
mbo_E10E16,20161105-Sturm-MBO,timeout,0,0
mbo_E10E17,20161105-Sturm-MBO,timeout,0,0
mbo_E10E18,20161105-Sturm-MBO,timeout,0,0
mbo_E10E19,20161105-Sturm-MBO,timeout,0,0
mbo_E10E20,20161105-Sturm-MBO,unsat,0.546,28.609
mbo_E10E21,20161105-Sturm-MBO,unsat,0.386,23.926
mbo_E10E22,20161105-Sturm-MBO,timeout,0,0
mbo_E10E23,20161105-Sturm-MBO,timeout,0,0
mbo_E10E24,20161105-Sturm-MBO,timeout,0,0
mbo_E10E25,20161105-Sturm-MBO,timeout,0,0
mbo_E10E26,20161105-Sturm-MBO,timeout,0,0
mbo_E10E27,20161105-Sturm-MBO,timeout,0,0
mbo_E10E28,20161105-Sturm-MBO,timeout,0,0
mbo_E10,20161105-Sturm-MBO,unsat,0.127,22.336
mbo_E11E12,20161105-Sturm-MBO,unsat,0.344,22.148
mbo_E11E13,20161105-Sturm-MBO,unsat,0.424,25.941
mbo_E11E14,20161105-Sturm-MBO,timeout,0,0
mbo_E11E15,20161105-Sturm-MBO,unsat,0.341,22.547
mbo_E11E16,20161105-Sturm-MBO,unsat,0.065,15.625
mbo_E11E17,20161105-Sturm-MBO,unsat,0.352,37.453
mbo_E11E18,20161105-Sturm-MBO,timeout,0,0
mbo_E11E19,20161105-Sturm-MBO,unsat,3.156,70.59
mbo_E11E20,20161105-Sturm-MBO,unsat,0.481,51.25
mbo_E11E21,20161105-Sturm-MBO,unsat,0.037,12.945
mbo_E11E22,20161105-Sturm-MBO,unsat,1.589,96.266
mbo_E11E23,20161105-Sturm-MBO,unsat,0.047,13.449
mbo_E11E24,20161105-Sturm-MBO,unsat,1.67,53.664
mbo_E11E25,20161105-Sturm-MBO,unsat,0.276,20.32
mbo_E11E26,20161105-Sturm-MBO,unsat,0.044,13.609
mbo_E11E27,20161105-Sturm-MBO,unsat,0.006,8.52
mbo_E11E28,20161105-Sturm-MBO,unsat,0.182,26.102
mbo_E11,20161105-Sturm-MBO,unsat,0.002,5.441
mbo_E12E13,20161105-Sturm-MBO,unsat,16.396,157.746
mbo_E12E14,20161105-Sturm-MBO,timeout,0,0
mbo_E12E15,20161105-Sturm-MBO,unsat,0.733,49.562
mbo_E12E16,20161105-Sturm-MBO,timeout,0,0
mbo_E12E17,20161105-Sturm-MBO,timeout,0,0
mbo_E12E18,20161105-Sturm-MBO,unsat,11.592,155.492
mbo_E12E19,20161105-Sturm-MBO,unsat,13.274,145.238
mbo_E12E20,20161105-Sturm-MBO,timeout,0,0
mbo_E12E21,20161105-Sturm-MBO,timeout,0,0
mbo_E12E22,20161105-Sturm-MBO,unsat,0.68,33.113
mbo_E12E23,20161105-Sturm-MBO,unsat,0.488,27.777
mbo_E12E24,20161105-Sturm-MBO,unsat,9.226,131.961
mbo_E12E25,20161105-Sturm-MBO,unsat,8.392,131.344
mbo_E12E26,20161105-Sturm-MBO,unsat,7.33,115.453
mbo_E12E27,20161105-Sturm-MBO,unsat,1.318,47.758
mbo_E12E28,20161105-Sturm-MBO,unsat,7.464,120.238
mbo_E12,20161105-Sturm-MBO,unsat,0.136,24.902
mbo_E13E14,20161105-Sturm-MBO,timeout,0,0
mbo_E13E15,20161105-Sturm-MBO,unsat,0.955,39.039
mbo_E13E16,20161105-Sturm-MBO,unsat,0.859,40.148
mbo_E13E17,20161105-Sturm-MBO,timeout,0,0
mbo_E13E18,20161105-Sturm-MBO,unsat,13.292,160.289
mbo_E13E19,20161105-Sturm-MBO,unsat,14.472,155.32
mbo_E13E20,20161105-Sturm-MBO,unsat,0.736,33.844
mbo_E13E21,20161105-Sturm-MBO,timeout,0,0
mbo_E13E22,20161105-Sturm-MBO,unsat,8.314,133.656
mbo_E13E23,20161105-Sturm-MBO,unsat,6.782,114.227
mbo_E13E24,20161105-Sturm-MBO,unsat,10.097,137.715
mbo_E13E25,20161105-Sturm-MBO,unsat,0.761,34.719
mbo_E13E26,20161105-Sturm-MBO,unsat,0.606,29.293
mbo_E13E27,20161105-Sturm-MBO,unsat,1.556,52.117
mbo_E13E28,20161105-Sturm-MBO,unsat,9.236,129.051
mbo_E13,20161105-Sturm-MBO,unsat,0.195,27.805
mbo_E14E15,20161105-Sturm-MBO,timeout,0,0
mbo_E14E16,20161105-Sturm-MBO,timeout,0,0
mbo_E14E17,20161105-Sturm-MBO,timeout,0,0
mbo_E14E18,20161105-Sturm-MBO,timeout,0,0
mbo_E14E19,20161105-Sturm-MBO,timeout,0,0
mbo_E14E20,20161105-Sturm-MBO,timeout,0,0
mbo_E14E21,20161105-Sturm-MBO,timeout,0,0
mbo_E14E22,20161105-Sturm-MBO,timeout,0,0
mbo_E14E23,20161105-Sturm-MBO,timeout,0,0
mbo_E14E24,20161105-Sturm-MBO,timeout,0,0
mbo_E14E25,20161105-Sturm-MBO,timeout,0,0
mbo_E14E26,20161105-Sturm-MBO,timeout,0,0
mbo_E14E27,20161105-Sturm-MBO,timeout,0,0
mbo_E14E28,20161105-Sturm-MBO,timeout,0,0
mbo_E14,20161105-Sturm-MBO,timeout,0,0
mbo_E15E16,20161105-Sturm-MBO,unsat,0.843,37.637
mbo_E15E17,20161105-Sturm-MBO,timeout,0,0
mbo_E15E18,20161105-Sturm-MBO,unsat,10.607,141.676
mbo_E15E19,20161105-Sturm-MBO,unsat,13.302,149.145
mbo_E15E20,20161105-Sturm-MBO,unsat,0.7,34.055
mbo_E15E21,20161105-Sturm-MBO,timeout,0,0
mbo_E15E22,20161105-Sturm-MBO,timeout,0,0
mbo_E15E23,20161105-Sturm-MBO,timeout,0,0
