benchmark,family,result,time,memory,conflict,decision,stage
mbo_E10E11,20161105-Sturm-MBO,timeout,1199.99,203.87,0,0,0
mbo_E10E12,20161105-Sturm-MBO,timeout,1199.96,1213.19,0,0,0
mbo_E10E13,20161105-Sturm-MBO,timeout,1199.97,2084.98,0,0,0
mbo_E10E14,20161105-Sturm-MBO,timeout,1199.88,469.22,0,0,0
mbo_E10E15,20161105-Sturm-MBO,timeout,1199.98,1278.72,0,0,0
mbo_E10E16,20161105-Sturm-MBO,timeout,1199.91,602.61,0,0,0
mbo_E10E17,20161105-Sturm-MBO,timeout,1199.92,609.03,0,0,0
mbo_E10E18,20161105-Sturm-MBO,timeout,1199.92,484.63,0,0,0
mbo_E10E19,20161105-Sturm-MBO,timeout,1199.91,342.3,0,0,0
mbo_E10E20,20161105-Sturm-MBO,timeout,1199.98,425.99,0,0,0
mbo_E10E21,20161105-Sturm-MBO,timeout,1199.97,1013.86,0,0,0
mbo_E10E22,20161105-Sturm-MBO,timeout,1199.95,520.55,0,0,0
mbo_E10E23,20161105-Sturm-MBO,timeout,1199.96,572.61,0,0,0
mbo_E10E24,20161105-Sturm-MBO,timeout,1199.94,448.75,0,0,0
mbo_E10E25,20161105-Sturm-MBO,timeout,1200.73,451.9,0,0,0
mbo_E10E26,20161105-Sturm-MBO,timeout,1199.94,526.32,0,0,0
mbo_E10E27,20161105-Sturm-MBO,timeout,1199.97,303.32,0,0,0
mbo_E10E28,20161105-Sturm-MBO,timeout,1200.42,485.31,0,0,0
mbo_E10,20161105-Sturm-MBO,timeout,1199.99,126.01,0,0,0
mbo_E11E12,20161105-Sturm-MBO,timeout,1199.99,468.61,0,0,0
mbo_E11E13,20161105-Sturm-MBO,timeout,1199.99,6493.2,0,0,0
mbo_E11E14,20161105-Sturm-MBO,timeout,1199.98,3725.92,0,0,0
mbo_E11E15,20161105-Sturm-MBO,timeout,1199.98,420.93,0,0,0
mbo_E11E16,20161105-Sturm-MBO,timeout,1199.98,339.61,0,0,0
mbo_E11E17,20161105-Sturm-MBO,timeout,1199.99,558.1,0,0,0
mbo_E11E18,20161105-Sturm-MBO,timeout,1199.96,417.02,0,0,0
mbo_E11E19,20161105-Sturm-MBO,timeout,1199.96,401.01,0,0,0
mbo_E11E20,20161105-Sturm-MBO,timeout,1199.98,235.41,0,0,0
mbo_E11E21,20161105-Sturm-MBO,unsat,0.03,18.11,60.0,4.0,56.0
mbo_E11E22,20161105-Sturm-MBO,timeout,1199.99,1275.27,0,0,0
mbo_E11E23,20161105-Sturm-MBO,unsat,0.0,18.12,6.0,0,6.0
mbo_E11E24,20161105-Sturm-MBO,timeout,1199.97,400.13,0,0,0
mbo_E11E25,20161105-Sturm-MBO,timeout,1199.98,247.99,0,0,0
mbo_E11E26,20161105-Sturm-MBO,timeout,1199.98,32.02,0,0,0
mbo_E11E27,20161105-Sturm-MBO,unsat,0.0,18.02,3.0,0,3.0
mbo_E11E28,20161105-Sturm-MBO,timeout,1199.98,50.75,0,0,0
mbo_E11,20161105-Sturm-MBO,unsat,0,18.01,0,0,0
