benchmark,family,result,time,memory,conflict,decision,stage
mbo_E10E11,20161105-Sturm-MBO,timeout,1199.98,227.08,0,0,0
mbo_E10E12,20161105-Sturm-MBO,timeout,1199.96,1336.2,0,0,0
mbo_E10E13,20161105-Sturm-MBO,timeout,1200.04,2089.69,0,0,0
mbo_E10E14,20161105-Sturm-MBO,timeout,1199.87,479.2,0,0,0
mbo_E10E15,20161105-Sturm-MBO,timeout,1199.97,1345.61,0,0,0
mbo_E10E16,20161105-Sturm-MBO,timeout,1199.9,604.34,0,0,0
mbo_E10E17,20161105-Sturm-MBO,timeout,1199.9,609.76,0,0,0
mbo_E10E18,20161105-Sturm-MBO,timeout,1199.91,490.77,0,0,0
mbo_E10E19,20161105-Sturm-MBO,timeout,1199.9,342.78,0,0,0
mbo_E10E20,20161105-Sturm-MBO,timeout,1199.97,532.16,0,0,0
mbo_E10E21,20161105-Sturm-MBO,timeout,1199.97,346.44,0,0,0
mbo_E10E22,20161105-Sturm-MBO,timeout,1199.91,491.48,0,0,0
mbo_E10E23,20161105-Sturm-MBO,timeout,1199.94,562.5,0,0,0
mbo_E10E24,20161105-Sturm-MBO,timeout,1199.9,451.28,0,0,0
mbo_E10E25,20161105-Sturm-MBO,timeout,1199.91,455.94,0,0,0
mbo_E10E26,20161105-Sturm-MBO,timeout,1199.92,526.55,0,0,0
mbo_E10E27,20161105-Sturm-MBO,timeout,1200.07,302.78,0,0,0
mbo_E10E28,20161105-Sturm-MBO,timeout,1199.92,485.74,0,0,0
mbo_E10,20161105-Sturm-MBO,timeout,1199.97,124.05,0,0,0
mbo_E11E12,20161105-Sturm-MBO,timeout,1199.97,3847.58,0,0,0
mbo_E11E13,20161105-Sturm-MBO,timeout,1199.96,6490.49,0,0,0
mbo_E11E14,20161105-Sturm-MBO,timeout,1199.97,3726.32,0,0,0
mbo_E11E15,20161105-Sturm-MBO,timeout,1199.96,3988.63,0,0,0
mbo_E11E16,20161105-Sturm-MBO,timeout,1199.98,178.72,0,0,0
mbo_E11E17,20161105-Sturm-MBO,timeout,1199.97,562.6,0,0,0
mbo_E11E18,20161105-Sturm-MBO,timeout,1199.96,418.23,0,0,0
mbo_E11E19,20161105-Sturm-MBO,timeout,1199.94,407.35,0,0,0
mbo_E11E20,20161105-Sturm-MBO,timeout,1199.97,463.84,0,0,0
mbo_E11E21,20161105-Sturm-MBO,timeout,1199.98,46.77,0,0,0
mbo_E11E22,20161105-Sturm-MBO,timeout,1199.97,634.62,0,0,0
mbo_E11E23,20161105-Sturm-MBO,unsat,0.0,18.12,5.0,0,6.0
mbo_E11E24,20161105-Sturm-MBO,timeout,1199.96,400.15,0,0,0
